City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
395,Karratha,AU,-20.7377,116.8463,90.61,31,23,13.8,few clouds
396,Nuuk,GL,64.1835,-51.7216,27.64,96,100,13.98,snow
397,Beira,MZ,-19.8436,34.8389,84.29,65,40,20.0,scattered clouds
398,Kazanskaya,RU,45.4106,40.4361,43.32,74,37,12.59,scattered clouds
399,Lake City,US,30.1897,-82.6393,55.58,71,1,8.05,clear sky
400,Nichinan,JP,31.6,131.3667,70.75,61,0,9.62,clear sky
401,Saint Anthony,US,45.0205,-93.218,35.53,67,1,3.0,clear sky
402,Sungairaya,ID,0.7,108.9,86.29,65,72,8.12,broken clouds
403,Beeville,US,28.4008,-97.7483,53.74,93,1,3.44,clear sky
404,Buta,CD,2.7858,24.73,82.85,63,18,1.77,few clouds
405,Artigas,UY,-30.4,-56.4667,58.89,69,0,7.45,clear sky
406,Imeni Poliny Osipenko,RU,52.4201,136.4853,6.55,93,13,0.47,few clouds
407,Miandrivazo,MG,-19.5167,45.4667,92.35,41,2,4.68,clear sky
408,Redmond,US,47.674,-122.1215,45.88,90,100,1.01,overcast clouds
409,Villarrobledo,ES,39.2699,-2.6012,49.86,93,100,17.34,overcast clouds
410,Eresos,GR,39.1667,25.9333,53.11,62,54,20.56,broken clouds
411,Wundanyi,KE,-3.4019,38.364,69.85,66,93,3.67,overcast clouds
412,Miraflores,MX,19.2167,-98.8083,53.02,87,12,3.78,few clouds
413,San Cristobal,VE,7.7669,-72.225,64.17,78,100,1.57,overcast clouds
414,Rafaela,AR,-31.2503,-61.4867,69.06,57,0,1.99,clear sky
415,Dalbandin,PK,28.8947,64.4101,60.33,22,0,8.95,clear sky
416,Butler,US,39.4501,-84.5666,34.74,76,1,0.0,clear sky
417,Bubaque,GW,11.2833,-15.8333,83.14,63,20,11.56,few clouds
418,Bloomingdale,US,27.8936,-82.2404,68.38,91,75,3.0,broken clouds
419,Minervino Murge,IT,41.0843,16.0784,51.64,83,17,8.52,few clouds
420,Evensk,RU,61.95,159.2333,16.79,80,100,13.65,overcast clouds
421,Zalari,RU,53.5584,102.5065,11.91,83,100,15.57,overcast clouds
422,Mullovka,RU,54.2,49.4,30.02,92,100,12.01,overcast clouds
423,Galesong,ID,-5.3166,119.3661,82.42,72,100,6.24,moderate rain
424,Azad Shahr,IR,34.7909,48.5707,28.89,100,90,2.3,fog
425,Uglich,RU,57.5275,38.3317,32.86,99,100,2.91,overcast clouds
426,Bilibino,RU,68.0546,166.4372,-20.76,87,18,4.03,few clouds
427,Kemin,KG,42.7846,75.6892,41.49,52,0,12.41,clear sky
428,Mitsamiouli,KM,-11.3847,43.2844,88.09,55,20,12.66,few clouds
429,Aykhal,RU,66.0,111.5,-20.74,100,71,6.53,broken clouds
430,Atambua,ID,-9.1061,124.8925,82.58,73,100,1.12,overcast clouds
431,Zlitan,LY,32.4674,14.5687,67.17,67,5,7.34,clear sky
432,Katsuura,JP,35.1333,140.3,64.11,68,63,18.14,broken clouds
433,Turochak,RU,52.2576,87.1224,18.84,57,100,3.38,overcast clouds
434,Koupela,BF,12.1794,-0.3517,76.62,20,0,9.57,clear sky
435,Nishihara,JP,26.1842,127.7558,78.46,69,75,13.8,broken clouds
436,Lokosovo,RU,61.1333,74.8167,11.3,94,100,12.62,light snow
437,Moanda,GA,-1.5575,13.2178,73.63,91,43,1.88,light rain
438,Khyriv,UA,49.5333,22.8524,48.49,82,100,16.98,overcast clouds
439,Yumen,CN,40.2833,97.2,32.59,45,45,30.47,scattered clouds
440,Werda,BW,-25.2667,23.2833,81.52,20,10,9.53,clear sky
441,Inhambane,MZ,-23.865,35.3833,77.0,88,75,5.01,broken clouds
442,Escanaba,US,45.7453,-87.0646,39.94,66,1,16.11,clear sky
443,Fortuna,US,40.5982,-124.1573,51.42,60,1,6.91,clear sky
444,Baiao,BR,-2.7906,-49.6717,73.76,97,46,2.44,light rain
445,Calabozo,VE,8.9242,-67.4293,74.97,72,73,5.32,broken clouds
446,Saquena,PE,-4.6667,-73.5167,72.93,97,100,0.89,overcast clouds
447,Kitgum,UG,3.2783,32.8867,85.84,37,100,3.8,overcast clouds
448,Teguldet,RU,57.3064,88.1667,10.38,85,100,8.48,overcast clouds
449,Chake Chake,TZ,-5.2459,39.7666,88.54,48,30,4.27,scattered clouds
450,Acajutla,SV,13.5928,-89.8275,77.86,69,78,6.73,broken clouds
451,Tandil,AR,-37.3217,-59.1332,45.84,88,0,3.87,clear sky
452,Macklin,CA,52.3334,-109.9348,23.34,86,14,7.09,few clouds
453,Pangoa,PE,-12.1167,-73.0,66.69,100,100,0.09,overcast clouds
454,Naze,JP,28.3667,129.4833,72.52,73,95,15.03,overcast clouds
455,Hobyo,SO,5.3505,48.5268,84.04,53,97,13.82,overcast clouds
456,Moerai,PF,-22.4333,-151.3333,75.83,66,30,12.17,scattered clouds
457,Moranbah,AU,-22.0016,148.0466,91.54,20,84,17.67,broken clouds
458,Gorban,RO,46.8761,28.0789,54.0,65,65,6.55,broken clouds
459,Savannakhet,LA,16.566,104.751,89.62,51,40,4.61,scattered clouds
460,Takoradi,GH,4.8845,-1.7554,80.29,84,96,4.14,overcast clouds
461,Tecpan,GT,14.7623,-90.9947,53.06,98,88,5.57,overcast clouds
462,Saint-Joseph,RE,-21.3667,55.6167,80.98,62,0,6.82,clear sky
463,Lock Haven,US,41.137,-77.4469,32.05,91,74,1.36,broken clouds
464,Tecoanapa,MX,16.5167,-98.75,74.86,83,8,4.92,clear sky
465,Antalaha,MG,-14.9003,50.2788,82.36,60,96,7.63,overcast clouds
466,Pisco,PE,-13.7,-76.2167,63.01,88,99,3.44,overcast clouds
467,Kaz,RU,52.9113,87.3105,16.84,75,100,8.43,overcast clouds
468,Tazovskiy,RU,67.4667,78.7,-12.69,96,56,13.8,broken clouds
469,Carutapera,BR,-1.195,-46.02,75.78,93,67,6.62,broken clouds
470,Ulaangom,MN,49.9811,92.0667,13.86,34,2,7.9,clear sky
471,Alakurtti,RU,66.9672,30.3491,25.41,95,100,4.38,overcast clouds
472,Sabya,SA,17.1495,42.6254,87.42,56,2,3.53,clear sky
473,Svetlogorsk,BY,52.6333,29.7333,46.9,71,100,20.24,overcast clouds
474,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,60,75,22.37,moderate rain
475,Kathu,TH,7.9178,98.3332,87.62,98,100,4.16,overcast clouds
476,Najran,SA,17.4924,44.1277,75.85,27,0,5.19,clear sky
